OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,GEOGRAPH,TRACT,POVERTY200,TRACTCE,PERCENT_CA,PERCENT_TR,PERCENT_WA,TOTAL_POP,UNEMPLOYME,POVERTY_RA,MEDIAN_INC,PERCENT_BL,PERCENT_HI,HOME_OWN,F15_FI_RATE,F15_FI_POP,F15_LB_NEED,F15_LB_UNME,F15_DISTRIB,F15_PPIN,FY_FI_RATE,FY_FI_POP,FY_LB_UNME,FY_DISTRIB,FY_PPIN,F14_FI_RATE,F14_LB_UNME,F14_DISTRIB,F14_PPIN,SHAPEAREA,SHAPELEN
68,24,031,705902,24031705902,7059.02,Census Tract 7059.02,G5020,S,3642347,10702,24031705902,705902,0,705902,89.7,10.4,0,4312,0.062,0.009,190066,0.03,0.057,0.881,0.028,120.856736,25379.91456,24846.917895,532.996665,4.410153,2.8,120.615264,24868.532165,460.673275,3.819361,2.9,24814.761415,1268.71,10.214467,3652691.22088393,8846.74111805955
69,24,031,705601,24031705601,7056.01,Census Tract 7056.01,G5020,S,1179720,6556,24031705601,705601,0,705601,78,18.8,3.1,2730,0.041,0.015,198750,0.059,0.09,0.962,0.005,13.63635,2863.6335,2313.191589,550.441911,40.365781,0.5,13.65,2285.368947,581.131053,42.573704,0,0,0,0,1186155.54509466,4882.07682103044
70,24,031,701702,24031701702,7017.02,Census Tract 7017.02,G5020,S,571829,0,24031701702,701702,0,701702,58.8,32.8,8.5,2493,0.17,0.185,62328,0.422,0.232,0.243,0.227,566.476911,118960.15131,69599.26672,49360.88459,87.136622,22.7,565.911,70313.064155,48528.245845,85.752434,23.1,95341.679633,25205.67,43.909642,571772.797199133,4724.92155899606
71,24,031,703404,24031703404,7034.04,Census Tract 7034.04,G5020,S,586652,0,24031703404,703404,0,703404,72.4,26.2,1.4,2916,0.143,0.094,53854,0.165,0.626,0.752,0.069,201.204,42252.84,32983.377349,9269.462651,46.069972,6.9,201.002796,33292.270341,8918.316819,44.369118,8.2,46279.139697,5019.24,20.547247,586600.248553508,3220.77995988357
72,24,031,701215,24031701215,7012.15,Census Tract 7012.15,G5020,S,787777,8551,24031701215,701215,0,701215,65,33.8,1.3,4327,0.026,0.025,84536,0.093,0.101,0.507,0.082,355.168814,74585.45094,67745.976293,6839.474647,19.256968,8.2,354.814,67460.034231,7050.905769,19.872118,8.6,73844.617828,4788.62,12.78862,796252.383472898,5661.62120086252
73,24,031,701414,24031701414,7014.14,Census Tract 7014.14,G5020,S,5723347,32136,24031701414,701414,0,701414,84.5,13.9,1.6,7096,0.086,0.09,80964,0.512,0.082,0.66,0.148,1050.208,220543.68,155653.855881,64889.824119,61.787593,14.8,1050.208,162971.042327,57572.637673,54.820224,13.2,179098.660409,20235.86,21.318588,5754971.99097632,12133.2370193793
74,24,031,700835,24031700835,7008.35,Census Tract 7008.35,G5020,S,5615037,50776,24031700835,700835,0,700835,89.5,8.7,1.8,4632,0.078,0.024,140550,0.171,0.116,0.936,0.052,240.864,50581.44,46090.786083,4490.653917,18.64394,5.2,240.864,46764.819102,3816.620898,15.845543,4.9,44557.159619,2591.62,11.543041,5665425.09546723,10738.7483458777
75,24,031,700312,24031700312,7003.12,Census Tract 7003.12,G5020,S,58083234,2214369,24031700312,700312,0,700312,92.7,6.3,1,5980,0.028,0.026,132993,0.181,0.096,0.82,0.045,269.1,56511,56511,0,0,4.5,268.8309,56454.489,0,0,4.9,58221.180103,123.12,0.443148,60294063.9014012,44594.3637885192
76,24,031,700207,24031700207,7002.07,Census Tract 7002.07,G5020,S,5699396,3869,24031700207,700207,0,700207,94.5,4.6,0.9,5496,0.089,0.143,84531,0.189,0.151,0.775,0.109,599.064,125803.44,125803.44,0,0,10.9,598.464936,125677.63656,0,0,11.6,142838.481003,252.16,0.370071,5702967.9511464,11668.2778664967
77,24,031,700208,24031700208,7002.08,Census Tract 7002.08,G5020,S,13713433,28933,24031700208,700208,0,700208,96.3,3.3,0.4,1937,0.049,0.007,100375,0.021,0.045,0.956,0.042,81.354,17084.34,17084.34,0,0,4.2,81.435354,17101.42434,0,0,4.1,15885.449841,0,0,13741695.0221514,19365.541799012
